kpos data fit err
3.65873 5.08844 4.62129 0.46715
3.66023 4.56504 4.62129 -0.05625
3.66173 4.81986 4.62129 0.19857
3.66323 4.68585 4.62129 0.06456
3.66473 4.59431 4.62129 -0.02698
3.66623 4.78218 4.62129 0.16089
3.66773 4.50801 4.62129 -0.11328
3.66923 4.80987 4.62129 0.18858
3.67073 4.85429 4.62129 0.233
3.67223 4.48799 4.62129 -0.1333
3.67373 4.38311 4.62129 -0.23818
3.67523 4.45879 4.62129 -0.1625
3.67673 4.56667 4.62129 -0.05462
3.67823 4.47018 4.62129 -0.15111
3.67973 4.92889 4.62129 0.3076
3.68123 4.87862 4.62129 0.25733
3.68273 4.90908 4.62129 0.28779
3.68423 4.83532 4.62129 0.21403
3.68573 5.25899 4.62129 0.6377
3.68723 5.05836 4.62129 0.43707
3.68873 4.63529 4.62129 0.014
3.69023 4.6766 4.62129 0.05531
3.69173 4.39934 4.62129 -0.22195
3.69323 4.37301 4.62129 -0.24828
3.69473 4.42704 4.62129 -0.19425
3.69623 4.44595 4.62129 -0.17534
3.69773 4.75728 4.62129 0.13599
3.69923 4.60092 4.62129 -0.02037
3.70073 4.37726 4.62129 -0.24403
3.70223 4.66469 4.62129 0.0434
3.70373 4.94942 4.62129 0.32813
3.70523 4.74036 4.62129 0.11907
3.70673 4.78053 4.62129 0.15924
3.70823 4.82623 4.62129 0.20494
3.70973 5.1511 4.62129 0.52981
3.71123 5.14894 4.62129 0.52765
3.71273 4.72261 4.62129 0.10132
3.71423 5.52197 4.62129 0.90068
3.71573 5.32659 4.62129 0.7053
3.71723 4.92519 4.62129 0.3039
3.71873 4.88912 4.62129 0.26783
3.72023 4.65924 4.62129 0.03795
3.72173 4.35141 4.62129 -0.26988
3.72323 4.71642 4.62129 0.09513
3.72473 4.90509 4.62129 0.2838
3.72623 5.05061 4.62129 0.42932
3.72773 4.89344 4.62129 0.27215
3.72923 5.21961 4.62129 0.59832
3.73073 4.91179 4.62129 0.2905
3.73223 4.57915 4.62129 -0.04214
3.73373 4.67107 4.62129 0.04978
3.73523 4.02771 4.62129 -0.59358
3.73673 4.94812 4.62129 0.32683
3.73823 4.88073 4.62129 0.25944
3.73973 4.4396 4.62129 -0.18169
3.74123 4.82788 4.62129 0.20659
3.74273 5.23966 4.62129 0.61837
3.74423 4.67064 4.62129 0.04935
3.74573 5.11925 4.62129 0.49796
3.74723 4.93581 4.62129 0.31452
3.74873 5.14681 4.62129 0.52552
3.75023 4.65166 4.62129 0.03037
3.75173 4.84275 4.62129 0.22146
3.75323 5.56761 4.62129 0.94632
3.75473 4.87826 4.62129 0.25697
3.75623 4.68691 4.62129 0.06562
3.75773 4.61688 4.62129 -0.00441
3.75923 4.74178 4.62129 0.12049
3.76073 4.59518 4.62129 -0.02611
3.76223 4.92218 4.62129 0.30089
3.76373 4.67475 4.62129 0.05346
3.76523 4.74057 4.62129 0.11928
3.76673 4.81889 4.62129 0.1976
3.76823 4.98473 4.62129 0.36344
3.76973 4.82157 4.62129 0.20028
3.77123 4.66683 4.62129 0.04554
3.77273 4.63442 4.62129 0.01313
3.77423 4.59681 4.62129 -0.02448
3.77573 4.55746 4.62129 -0.06383
3.77723 4.34428 4.62129 -0.27701
3.77873 4.44738 4.62129 -0.17391
3.78023 4.86543 4.62129 0.24414
3.78173 4.67879 4.62129 0.0575
3.78323 5.1459 4.62129 0.52461
3.78473 4.96936 4.62129 0.34807
3.78623 5.22866 4.62129 0.60737
3.78773 4.80663 4.62129 0.18534
3.78923 4.61397 4.62129 -0.00732
3.79073 5.00477 4.62129 0.38348
3.79223 4.98299 4.62129 0.3617
3.79373 5.0502 4.62129 0.42891
3.79523 4.29771 4.62129 -0.32358
3.79673 4.2164 4.62129 -0.40489
3.79823 4.85734 4.62129 0.23605
3.79973 4.79964 4.62129 0.17835
3.80123 4.76057 4.62129 0.13928
3.80273 4.59772 4.62129 -0.02357
3.80423 4.75394 4.62129 0.13265
3.80573 4.82495 4.62129 0.20366
3.80723 4.98161 4.62129 0.36032
3.80873 5.06842 4.62129 0.44713
3.81023 5.17265 4.62129 0.55136
3.81173 5.37278 4.62129 0.75149
3.81323 4.64233 4.62129 0.02104
3.81473 5.02534 4.62129 0.40405
3.81623 4.95028 4.62129 0.32899
3.81773 5.0129 4.62129 0.39161
3.81923 5.11985 4.62129 0.49856
3.82073 4.82883 4.62129 0.20754
3.82223 5.02085 4.62129 0.39956
3.82373 4.42189 4.62129 -0.1994
3.82523 4.6767 4.62129 0.05541
3.82673 4.8293 4.62129 0.20801
3.82823 4.75415 4.62129 0.13286
3.82973 4.79006 4.62129 0.16877
3.83123 4.93972 4.62129 0.31843
3.83273 4.89099 4.62129 0.2697
3.83423 5.1606 4.62129 0.53931
3.83573 5.22855 4.62129 0.60726
3.83723 4.59371 4.62129 -0.02758
3.83873 5.09237 4.62129 0.47108
3.84023 4.94727 4.62129 0.32598
3.84173 4.7624 4.62129 0.14111
3.84323 4.74163 4.62129 0.12034
3.84473 4.71102 4.62129 0.08973
3.84623 4.65412 4.62129 0.03283
3.84773 5.10916 4.62129 0.48787
3.84923 5.15924 4.62129 0.53795
3.85073 5.46989 4.62129 0.8486
3.85223 5.38574 4.62129 0.76445
3.85373 5.43848 4.62129 0.81719
3.85523 5.32807 4.62129 0.70678
3.85673 4.82185 4.62129 0.20056
3.85823 4.78112 4.62129 0.15983
3.85973 5.26841 4.62129 0.64712
3.86123 5.03356 4.62129 0.41227
3.86273 5.32241 4.62129 0.70112
3.86423 5.6363 4.62129 1.01501
3.86573 5.41214 4.62129 0.79085
3.86723 5.0776 4.62129 0.45631
3.86873 5.34519 4.62129 0.7239
3.87023 4.63928 4.62129 0.01799
3.87173 5.17202 4.62129 0.55073
3.87323 5.25294 4.62129 0.63165
3.87473 5.75742 4.62129 1.13613
3.87623 5.81076 4.62129 1.18947
3.87773 5.57299 4.62129 0.9517
3.87923 5.71571 4.62129 1.09442
3.88073 5.62533 4.62129 1.00404
3.88223 5.19819 4.62129 0.5769
3.88373 5.53092 4.62129 0.90963
3.88523 5.76385 4.62129 1.14256
3.88673 6.20197 4.62129 1.58068
3.88823 5.9323 4.62129 1.31101
3.88973 6.04498 4.62129 1.42369
3.89123 6.76566 4.62129 2.14437
3.89273 7.00023 4.62129 2.37894
3.89423 7.25259 4.62129 2.6313
3.89573 7.13328 4.62129 2.51199
3.89723 7.69359 4.62129 3.0723
3.89873 8.34416 4.62129 3.72287
3.90023 8.53345 4.62129 3.91216
3.90173 8.65087 4.62129 4.02958
3.90323 9.74945 4.62129 5.12816
3.90473 10.2077 4.62129 5.58641
3.90623 10.9575 4.62129 6.33621
3.90773 11.9658 4.62129 7.34451
3.90923 12.1645 4.62129 7.54321
3.91073 12.7995 4.62129 8.17821
3.91223 12.5063 4.62129 7.88501
3.91373 13.7474 4.62129 9.12611
3.91523 12.9807 4.62129 8.35941
3.91673 12.9571 4.62129 8.33581
3.91823 12.5731 4.62129 7.95181
3.91973 12.1627 4.62129 7.54141
3.92123 11.2563 4.62129 6.63501
3.92273 10.6797 4.62129 6.05841
3.92423 9.65528 4.62129 5.03399
3.92573 9.13138 4.62129 4.51009
3.92723 8.68282 4.62129 4.06153
3.92873 8.28824 4.62129 3.66695
3.93023 7.29704 4.62129 2.67575
3.93173 7.30666 4.62129 2.68537
3.93323 7.19501 4.62129 2.57372
3.93473 7.12062 4.62129 2.49933
3.93623 6.30262 4.62129 1.68133
3.93773 6.43391 4.62129 1.81262
3.93923 5.67079 4.62129 1.0495
3.94073 5.93531 4.62129 1.31402
3.94223 5.93763 4.62129 1.31634
3.94373 5.94655 4.62129 1.32526
3.94523 5.77881 4.62129 1.15752
3.94673 5.39233 4.62129 0.77104
3.94823 4.87807 4.62129 0.25678
3.94973 4.75509 4.62129 0.1338
3.95123 4.99949 4.62129 0.3782
3.95273 5.10218 4.62129 0.48089
3.95423 5.24032 4.62129 0.61903
3.95573 5.23873 4.62129 0.61744
3.95723 5.21564 4.62129 0.59435
3.95873 5.08976 4.62129 0.46847
3.96023 4.85316 4.62129 0.23187
3.96173 5.29353 4.62129 0.67224
3.96323 5.23225 4.62129 0.61096
3.96473 5.03862 4.62129 0.41733
3.96623 4.71822 4.62129 0.09693
3.96773 4.83085 4.62129 0.20956
3.96923 5.13944 4.62129 0.51815
3.97073 4.95444 4.62129 0.33315
3.97223 4.98379 4.62129 0.3625
3.97373 4.35262 4.62129 -0.26867
3.97523 4.73693 4.62129 0.11564
3.97673 4.94231 4.62129 0.32102
3.97823 4.91579 4.62129 0.2945
3.97973 4.85481 4.62129 0.23352
3.98123 4.71 4.62129 0.08871
3.98273 4.66796 4.62129 0.04667
3.98423 5.2788 4.62129 0.65751
3.98573 5.23621 4.62129 0.61492
3.98723 4.92129 4.62129 0.3
3.98873 5.11909 4.62129 0.4978
3.99023 4.97825 4.62129 0.35696
3.99173 5.04078 4.62129 0.41949
3.99323 4.90076 4.62129 0.27947
3.99473 5.08956 4.62129 0.46827
3.99623 5.55168 4.62129 0.93039
3.99773 4.98761 4.62129 0.36632
3.99923 5.0861 4.62129 0.46481
4.00073 5.33103 4.62129 0.70974
4.00223 4.88895 4.62083 0.26812
4.00373 5.28002 4.62038 0.65964
4.00523 4.95165 4.61992 0.33173
4.00673 4.79692 4.61947 0.17745
4.00823 4.57045 4.61901 -0.04856
4.00973 4.84387 4.61855 0.22532
4.01123 4.9596 4.61809 0.34151
4.01273 5.15181 4.61762 0.53419
4.01423 5.30189 4.61716 0.68473
4.01573 4.83529 4.61669 0.2186
4.01723 4.70144 4.61622 0.08522
4.01873 4.65087 4.61575 0.03512
4.02023 4.49511 4.61528 -0.12017
4.02173 4.38458 4.61481 -0.23023
4.02323 5.13105 4.61433 0.51672
4.02473 5.24129 4.61386 0.62743
4.02623 4.65125 4.61338 0.03787
4.02773 4.9342 4.61289 0.32131
4.02923 4.56488 4.61241 -0.04753
4.03073 4.99486 4.61192 0.38294
4.03223 4.91405 4.61144 0.30261
4.03373 4.79454 4.61095 0.18359
4.03523 4.80834 4.61046 0.19788
4.03673 4.62891 4.60996 0.01895
4.03823 4.90029 4.60947 0.29082
4.03973 4.53667 4.60897 -0.0723
4.04123 4.8674 4.60847 0.25893
4.04273 5.15337 4.60797 0.5454
4.04423 4.86874 4.60747 0.26127
4.04573 4.59609 4.60696 -0.01087
4.04723 4.71204 4.60646 0.10558
4.04873 4.66385 4.60595 0.0579
4.05023 4.32143 4.60545 -0.28402
4.05173 4.56424 4.60494 -0.0407
4.05323 4.50107 4.60443 -0.10336
4.05473 4.79566 4.60392 0.19174
4.05623 4.64316 4.6034 0.03976
4.05773 5.02739 4.60289 0.4245
4.05923 5.04041 4.60238 0.43803
4.06073 5.02898 4.60187 0.42711
4.06223 4.95105 4.60135 0.3497
4.06373 4.9557 4.60084 0.35486
4.06523 4.56429 4.60032 -0.03603
4.06673 4.86738 4.59981 0.26757
4.06823 4.91017 4.5993 0.31087
4.06973 4.91504 4.59878 0.31626
4.07123 4.4781 4.59827 -0.12017
4.07273 4.67357 4.59775 0.07582
4.07423 4.85981 4.59724 0.26257
4.07573 4.80763 4.59673 0.2109
4.07723 4.66933 4.59622 0.07311
4.07873 4.73563 4.5957 0.13993
4.08023 4.96807 4.59519 0.37288
4.08173 4.67299 4.59468 0.07831
4.08323 4.85448 4.59417 0.26031
4.08473 5.21482 4.59366 0.62116
4.08623 4.8277 4.59315 0.23455
4.08773 4.65769 4.59265 0.06504
4.08923 4.89778 4.59214 0.30564
4.09073 4.38885 4.59163 -0.20278
4.09223 4.67148 4.59113 0.08035
4.09373 4.68674 4.59063 0.09611
4.09523 4.98228 4.59012 0.39216
4.09673 4.82101 4.58962 0.23139
4.09823 4.7924 4.58912 0.20328
4.09973 5.04904 4.58862 0.46042
4.10123 4.99953 4.58812 0.41141
4.10273 5.04686 4.58762 0.45924
4.10423 4.89716 4.58712 0.31004
4.10573 5.00766 4.58662 0.42104
4.10723 4.78019 4.58612 0.19407
4.10873 4.62528 4.58562 0.03966
4.11023 4.76403 4.58512 0.17891
4.11173 4.71534 4.58462 0.13072
4.11323 4.73618 4.58413 0.15205
4.11473 4.55278 4.58363 -0.03085
4.11623 4.62127 4.58313 0.03814
4.11773 4.7809 4.58263 0.19827
4.11923 4.85059 4.58213 0.26846
4.12073 4.63362 4.58163 0.05199
4.12223 4.61667 4.58113 0.03554
4.12373 4.94949 4.58063 0.36886
4.12523 4.77737 4.58013 0.19724
4.12673 4.64352 4.57963 0.06389
4.12823 4.81781 4.57912 0.23869
4.12973 4.66473 4.57862 0.08611
4.13123 4.90139 4.57811 0.32328
4.13273 4.94357 4.5776 0.36597
4.13423 4.49343 4.57709 -0.08366
4.13573 4.97051 4.57658 0.39393
4.13723 4.97294 4.57607 0.39687
4.13873 4.85317 4.57556 0.27761
4.14023 4.56495 4.57504 -0.01009
4.14173 4.64893 4.57452 0.07441
4.14323 4.43597 4.574 -0.13803
4.14473 4.39915 4.57348 -0.17433
4.14623 4.4596 4.57296 -0.11336
4.14773 4.3441 4.57243 -0.22833
4.14923 4.48618 4.57191 -0.08573
4.15073 4.51818 4.57138 -0.0532
4.15223 4.75908 4.57084 0.18824
4.15373 4.50929 4.57031 -0.06102
4.15523 4.58695 4.56978 0.01717
4.15673 4.15419 4.56924 -0.41505
4.15823 4.37733 4.5687 -0.19137
4.15973 4.62761 4.56816 0.05945
4.16123 4.75112 4.56761 0.18351
4.16273 5.02733 4.56707 0.46026
4.16423 4.83355 4.56652 0.26703
4.16573 4.38819 4.56597 -0.17778
4.16723 4.53696 4.56542 -0.02846
4.16873 4.46592 4.56487 -0.09895
4.17023 4.55417 4.56431 -0.01014
4.17173 4.38291 4.56376 -0.18085
4.17323 4.79105 4.5632 0.22785
4.17473 4.63311 4.56265 0.07046
4.17623 4.32909 4.56209 -0.233
4.17773 4.16757 4.56153 -0.39396
4.17923 4.44386 4.56097 -0.11711
4.18073 4.35235 4.5604 -0.20805
4.18223 4.18814 4.55984 -0.3717
4.18373 4.14899 4.55928 -0.41029
4.18523 4.43385 4.55872 -0.12487
4.18673 4.57467 4.55815 0.01652
4.18823 4.5354 4.55759 -0.02219
4.18973 4.51587 4.55703 -0.04116
4.19123 4.65338 4.55646 0.09692
4.19273 4.70795 4.5559 0.15205
4.19423 4.60079 4.55534 0.04545
4.19573 4.6523 4.55477 0.09753
4.19723 4.67999 4.55421 0.12578
4.19873 4.8394 4.55365 0.28575
4.20023 4.46968 4.55309 -0.08341
4.20173 4.20646 4.55253 -0.34607
4.20323 4.51307 4.55197 -0.0389
4.20473 4.35893 4.55141 -0.19248
4.20623 4.17168 4.55085 -0.37917
4.20773 4.32806 4.55029 -0.22223
4.20923 4.12478 4.54974 -0.42496
4.21073 3.98723 4.54918 -0.56195
4.21223 4.1251 4.54863 -0.42353
4.21373 4.39908 4.54808 -0.149
4.21523 4.5183 4.54752 -0.02922
4.21673 4.50139 4.54697 -0.04558
4.21823 4.46424 4.54642 -0.08218
4.21973 4.61087 4.54588 0.06499
4.22123 4.59847 4.54533 0.05314
4.22273 4.45376 4.54478 -0.09102
4.22423 4.19108 4.54424 -0.35316
4.22573 4.3779 4.54369 -0.16579
4.22723 4.10924 4.54315 -0.43391
4.22873 4.15502 4.5426 -0.38758
4.23023 4.11321 4.54206 -0.42885
4.23173 4.05582 4.54149 -0.48567
4.23323 3.77504 4.54092 -0.76588
4.23473 3.93537 4.54032 -0.60495
4.23623 4.27107 4.53972 -0.26865
4.23773 4.56469 4.53909 0.0256
4.23923 4.66816 4.53845 0.12971
4.24073 4.64797 4.5378 0.11017
4.24223 4.25647 4.53714 -0.28067
4.24373 4.21258 4.53645 -0.32387
4.24523 4.41932 4.53576 -0.11644
4.24673 4.4327 4.53505 -0.10235
4.24823 4.58214 4.53433 0.04781
4.24973 4.59382 4.53359 0.06023
4.25123 4.36932 4.53284 -0.16352
4.25273 4.36348 4.53208 -0.1686
4.25423 4.42463 4.5313 -0.10667
4.25573 4.37453 4.53051 -0.15598
4.25723 4.37854 4.52971 -0.15117
4.25873 4.68632 4.52889 0.15743
4.26023 4.62426 4.52806 0.0962
4.26173 4.59372 4.52722 0.0665
4.26323 4.56085 4.52637 0.03448
4.26473 4.25873 4.5255 -0.26677
4.26623 4.63262 4.52462 0.108
