3.95033 555108 548658 6450
3.95602 467980 443128 24852
3.96171 326606 313481 13125
3.9674 202175 204691 -2516
3.97309 125115 132339 -7224
3.97878 85273.1 89526.7 -4253.6
3.98447 60976.1 65052.1 -4076
3.99016 46960.3 50848 -3887.7
3.99585 39400.5 42283.3 -2882.8
4.00154 35127.9 36883.3 -1755.4
4.00723 32522.6 33326.9 -804.3
4.01292 30687.5 30889 -201.5
4.01861 29456.3 29154.6 301.7
4.0243 28540.8 27878 662.8
4.02999 27806.1 26911.6 894.5
4.03568 27044.3 26166.5 877.8
4.04137 26416.1 25581.6 834.5
4.04706 25663.7 25109.7 554
4.05275 24982.2 24718.4 263.8
4.05843 24633.2 24391 242.2
4.06412 24345.6 24120.8 224.8
4.06981 24206.2 23899.1 307.1
4.0755 24024.2 23711.5 312.7
4.08119 24023.9 23545.4 478.5
4.08688 23874.9 23399.3 475.6
4.09257 23786.4 23279.6 506.8
4.09826 23639.7 23187.8 451.9
4.10395 23404.2 23115.3 288.9
4.10964 23224.2 23052 172.2
4.11533 23158.7 22998.6 160.1
4.12102 23098.1 22965.4 132.7
4.12671 23114.6 22958.8 155.8
4.1324 23037.7 22972.8 64.9
4.13809 23074.3 22997 77.3
4.14377 23075 23032 43
4.14946 23170 23089.7 80.3
4.15515 23206 23177.1 28.9
4.16084 23299.5 23286.7 12.8
4.16653 23417.1 23408.7 8.4
4.17222 23483.4 23544.4 -61
4.17791 23653.6 23711.3 -57.7
4.1836 23860.3 23929.4 -69.1
4.18929 24068 24205.9 -137.9
4.19498 24359.6 24541.4 -181.8
4.20067 24634.9 24951.7 -316.8
4.20636 25029.9 25480.5 -450.6
4.21204 25474.3 26192.4 -718.1
4.21773 26279.8 27165.8 -886
4.22342 26996.2 28517.7 -1521.5
4.22911 28246.2 30473.3 -2227.1
4.2348 30052 33481.5 -3429.5
4.24049 33786.6 38424.4 -4637.8
4.24618 41298.9 47060.1 -5761.2
4.25187 55386 62893 -7507
4.25756 84955.3 92344.5 -7389.2
4.26325 135355 144647 -9292
4.26894 230356 226336 4020
4.27462 345974 327259 18715
4.28031 416534 408408 8126
4.286 440055 419165 20890
4.29169 337498 347347 -9849
4.29738 232620 239119 -6499
4.30307 149443 149164 279
4.30876 95283.5 94787.2 496.3
4.31445 68480.1 66571.6 1908.5
4.32014 55244.5 52405.5 2839
4.32582 46559.7 45163.9 1395.8
4.33151 42735.7 41465.4 1270.3
4.3372 40922.4 39659.1 1263.3
4.34289 40179.2 38893.5 1285.7
4.34858 40437.6 38739.6 1698
4.35427 39970 39016.8 953.2
4.35996 40063.5 39627.1 436.4
4.36565 40697.7 40475.2 222.5
4.37133 41063.8 41492.6 -428.8
4.37702 42160.4 42703.7 -543.3
4.38271 42696.2 44155.9 -1459.7
4.3884 43865.2 45802.4 -1937.2
4.39409 45561.7 47578.6 -2016.9
4.39978 47394.3 49476.1 -2081.8
4.40547 50294.7 51660.4 -1365.7
4.41116 53799.1 54449.5 -650.4
4.41684 57787.7 58262.6 -474.9
4.42253 64205.1 63706.6 498.5
4.42822 73967.3 71726.6 2240.7
4.43391 88431.3 83900.3 4531
4.4396 108431 103087 5344
4.44529 139508 134649 4859
4.45098 194631 188458 6173
4.45667 290237 281824 8413
4.46235 448269 441588 6681
4.46804 694720 698760 -4040
4.47373 1.04859e+06 1.06434e+06 -15750
4.47942 1.43848e+06 1.48486e+06 -46380
4.48511 1.81135e+06 1.81629e+06 -4940
4.4908 1.9203e+06 1.88754e+06 32760
4.49649 1.68636e+06 1.64536e+06 41000
4.50217 1.31328e+06 1.21892e+06 94360
4.50786 828425 800641 27784
4.51355 478887 496516 -17629
4.51924 281146 309191 -28045
4.52493 176870 201406 -24536
4.53062 122090 139560 -17470
4.5363 91573 102910 -11337
4.54199 70173.4 80194.3 -10020.9
4.54768 57137 65425.9 -8288.9
4.55337 49150 55359.7 -6209.7
4.55906 43756.6 48206.4 -4449.8
4.56475 40329.1 42957.7 -2628.6
4.57043 36878.8 39008 -2129.2
4.57612 34182.7 35955.8 -1773.1
4.58181 32082 33523.5 -1441.5
4.5875 30377.9 31536.1 -1158.2
4.59319 29133.3 29897.1 -763.8
4.59888 27981.7 28543.4 -561.7
4.60456 26849.3 27410.6 -561.3
4.61025 25885.1 26434.3 -549.2
4.61594 25182.8 25572.4 -389.6
4.62163 24483.5 24813.4 -329.9
4.62732 23930.9 24155.8 -224.9
4.63301 23289.3 23583.6 -294.3
4.63869 22755.6 23067.9 -312.3
4.64438 22287.5 22588.2 -300.7
4.65007 21848.4 22145.5 -297.1
4.65576 21484.5 21749.4 -264.9
4.66145 21111.7 21396.6 -284.9
4.66713 20795.4 21069.1 -273.7
4.67282 20460.5 20751.8 -291.3
4.67851 20206.8 20447.3 -240.5
4.6842 19944.8 20166.7 -221.9
4.68989 19725.2 19911.7 -186.5
4.69558 19480.8 19669.9 -189.1
4.70126 19318.8 19429.4 -110.6
4.70695 19201.4 19192.6 8.8
4.71264 18941.5 18970.9 -29.4
4.71833 18698.4 18768.5 -70.1
4.72402 18468.9 18576.6 -107.7
4.7297 18210.3 18384 -173.7
4.73539 18023.5 18191.5 -168
4.74108 17805.8 18009.3 -203.5
4.74677 17660.6 17842.9 -182.3
4.75246 17482.7 17685.6 -202.9
4.75814 17382.1 17527.6 -145.5
4.76383 17278 17368.3 -90.3
4.76952 17197.4 17216.6 -19.2
4.77521 17045.6 17078.7 -33.1
4.78089 16947.6 16949.9 -2.3
4.78658 16833 16821 12
4.79227 16781.9 16690.6 91.3
