pattern, info, centre, fwhm
18.0, 'SS316L', 7.8613, 0.01265575042802396
18.0, 'SS316L', 9.21694, 0.017464268070446966
18.0, 'SS316L', 9.62245, 0.01097728010478732
18.0, 'SS316L', 12.1043, 0.01827281966066078
18.0, 'SS316L', 12.4289, 0.029196932908382826
19.0, 'SS316L', 4.81491, 0.004641201782061444
19.0, 'SS316L', 5.56473, 0.011227665837048654
19.0, 'SS316L', 7.86418, 0.010881494231626862
19.0, 'SS316L', 9.21941, 0.016503594242335013
19.0, 'SS316L', 9.62618, 0.0103836013632536
19.0, 'SS316L', 11.1212, 0.021842235003990483
19.0, 'SS316L', 12.1118, 0.016804228225602364
19.0, 'SS316L', 12.4291, 0.02249185448660488
20.0, 'SS316L', 4.81392, 0.005232226293979489
20.0, 'SS316L', 5.5612, 0.011338022664152111
20.0, 'SS316L', 7.85858, 0.01047055074754087
20.0, 'SS316L', 9.21703, 0.01522365125505475
20.0, 'SS316L', 9.62364, 0.009841397261225765
20.0, 'SS316L', 11.1154, 0.02200546012774891
20.0, 'SS316L', 12.1084, 0.015270601198411643
20.0, 'SS316L', 12.423, 0.021033376795339072
21.0, 'SS316L', 4.81418, 0.003976268168246494
21.0, 'SS316L', 5.56131, 0.011003058357676261
21.0, 'SS316L', 7.85838, 0.010161311778172574
21.0, 'SS316L', 9.21646, 0.015045433500419099
21.0, 'SS316L', 9.62384, 0.010121885061457772
21.0, 'SS316L', 11.1192, 0.025923880572544442
21.0, 'SS316L', 12.107, 0.015460218579907958
21.0, 'SS316L', 12.4246, 0.020351244587717678
22.0, 'SS316L', 4.81294, 0.004651459845447484
22.0, 'SS316L', 5.56143, 0.013394676240821553
22.0, 'SS316L', 9.21763, 0.02060889798601646
22.0, 'SS316L', 11.1195, 0.02637862178241212
22.0, 'SS316L', 12.108, 0.01963783300954897
23.0, 'SS316L', 4.8135, 0.00533106131314491
23.0, 'SS316L', 5.56035, 0.011837057626066938
23.0, 'SS316L', 7.86016, 0.010819914724027461
23.0, 'SS316L', 9.2182, 0.015716944282462585
23.0, 'SS316L', 9.62367, 0.010036261130782818
23.0, 'SS316L', 11.1189, 0.025638245933946948
23.0, 'SS316L', 12.1111, 0.017228945010970092
23.0, 'SS316L', 12.43, 0.02272236267972827
24.0, 'SS316L', 4.81338, 0.004744415809539709
24.0, 'SS316L', 5.55878, 0.0116846730118232
24.0, 'SS316L', 7.85833, 0.010237767900496119
24.0, 'SS316L', 9.21605, 0.014185527994333988
24.0, 'SS316L', 9.6228, 0.010219020398025537
24.0, 'SS316L', 11.1157, 0.021542072178366282
24.0, 'SS316L', 12.1073, 0.01605261563038657
24.0, 'SS316L', 12.4222, 0.020433162832273616
25.0, 'SS316L', 4.81255, 0.008262754188846984
25.0, 'SS316L', 5.55605, 0.019148657347720997
25.0, 'SS316L', 9.21634, 0.02140246053768429
25.0, 'SS316L', 12.4289, 0.02998539133655934
26.0, 'SS316L', 4.81226, 0.00490403301345029
26.0, 'SS316L', 5.55438, 0.010479177573513555
26.0, 'SS316L', 7.85874, 0.011333869790399425
26.0, 'SS316L', 9.2111, 0.01733588071610813
26.0, 'SS316L', 9.62077, 0.00994562339898621
26.0, 'SS316L', 12.1087, 0.018381476989212022
26.0, 'SS316L', 12.419, 0.02168798601753072
28.0, 'SS316L', 4.81113, 0.005725763322327455
28.0, 'SS316L', 5.55739, 0.013498357135434276
28.0, 'SS316L', 7.85749, 0.012474733035894142
28.0, 'SS316L', 9.21005, 0.017354629785908234
28.0, 'SS316L', 9.62004, 0.0111941386677342
28.0, 'SS316L', 11.1072, 0.025248233220159132
28.0, 'SS316L', 12.1065, 0.01683478296187483
28.0, 'SS316L', 12.4215, 0.02442346665988692
