pattern_number, centre, delta_centre, fwhm, delta_fwhm, left_hwhm, delta_left_hwhm, right_hwhm, delta_right_hwhm, height, delta_height, lshape, delta_lshape, rshape, delta_rshape, info
11, 4.81598, 9.17241e-06, 0.00662334, 1.247032558245774e-05, 0.00387754, 8.60254e-06, 0.0027458, 9.02803e-06, 1174.76, 1.47466, 1.52638, 0.00402768, 1.36987, 0.00424563, 'SS316L'
11, 5.55994, 5.7672e-05, 0.01283578, 8.846144917250678e-05, 0.00727898, 6.44459e-05, 0.0055568, 6.05983e-05, 51.4921, 0.228707, 1.31745, 0.0146937, 1.413, 0.0203896, 'SS316L'
11, 7.8565, 9.47064e-05, 0.01276701, 0.00014697072081540594, 0.00685845, 0.000106016, 0.00590856, 0.000101789, 21.5751, 0.147943, 1.39853, 0.0323628, 1.53609, 0.0436813, 'SS316L'
11, 9.21473, 3.78744e-05, 0.016943510000000002, 5.648187296549221e-05, 0.00985075, 4.17188e-05, 0.00709276, 3.80755e-05, 143.322, 0.320296, 1.44849, 0.00775131, 1.45587, 0.00973332, 'SS316L'
11, 9.62274, 7.24462e-05, 0.01112579, 0.00011133105917936826, 0.00633933, 8.14166e-05, 0.00478646, 7.59338e-05, 30.6207, 0.186615, 1.30247, 0.0218564, 1.31359, 0.026808, 'SS316L'
11, 11.1122, 0.000151985, 0.021944150000000003, 0.00024280308616242917, 0.012174, 0.000176775, 0.00977015, 0.000166445, 14.1067, 0.0922841, 1.17192, 0.0225863, 1.31504, 0.0332688, 'SS316L'
11, 12.1041, 7.36035e-05, 0.01666634, 0.0001144442840834788, 0.00937377, 8.39253e-05, 0.00729257, 7.78077e-05, 39.0058, 0.170566, 1.25063, 0.013842, 1.31554, 0.0179933, 'SS316L'
11, 12.4211, 0.000347557, 0.0214845, 0.0005677970800074618, 0.0114422, 0.000333848, 0.0100423, 0.000459281, 2.5551, 0.0416338, 1.0, nan, 1.43508, 0.156888, 'SS316L'
12, 4.81407, 8.32838e-06, 0.0067158800000000005, 1.251780357159354e-05, 0.00373505, 8.73209e-06, 0.00298083, 8.96917e-06, 841.208, 1.18096, 1.47048, 0.00404043, 1.44703, 0.00482737, 'SS316L'
12, 5.55958, 7.76717e-05, 0.01322572, 0.00011936286466003571, 0.00744557, 8.62393e-05, 0.00578015, 8.25244e-05, 29.344, 0.160083, 1.4888, 0.026957, 1.49804, 0.0324261, 'SS316L'
12, 7.85706, 3.86647e-05, 0.01174359, 5.827631491721143e-05, 0.00666423, 4.31247e-05, 0.00507936, 3.91968e-05, 86.7943, 0.285321, 1.36594, 0.0106594, 1.33689, 0.0120496, 'SS316L'
12, 9.21462, 5.24177e-05, 0.01638453, 7.950579178154256e-05, 0.00938498, 5.85084e-05, 0.00699955, 5.38325e-05, 68.5872, 0.21465, 1.44545, 0.0122341, 1.40584, 0.0138898, 'SS316L'
12, 9.62298, 0.000130937, 0.01108488, 0.00020986083808324028, 0.00623543, 0.00015072, 0.00484945, 0.000146031, 9.6409, 0.102519, 1.20954, 0.0424819, 1.20027, 0.0502243, 'SS316L'
12, 11.1126, 0.0002871, 0.02218875, 0.0004777934178052268, 0.0123952, 0.000346697, 0.00979355, 0.000328767, 4.29272, 0.0497225, 1.16936, 0.0544066, 1.23239, 0.0706747, 'SS316L'
12, 12.1071, 0.000179491, 0.01708238, 0.00029364596758682044, 0.0098315, 0.000216442, 0.00725088, 0.000198446, 7.5684, 0.0732067, 1.23926, 0.0439257, 1.2533, 0.0539012, 'SS316L'
12, 12.4246, 0.000397961, 0.0228914, 0.0006731709910342246, 0.013295, 0.000492997, 0.0095964, 0.000458381, 2.67678, 0.0396987, 1.29735, 0.0996514, 1.35128, 0.132319, 'SS316L'
13, 4.81252, 2.91991e-05, 0.0073979300000000005, 4.300526747655455e-05, 0.00410616, 3.27308e-05, 0.00329177, 2.78953e-05, 117.999, 0.453154, 1.44095, 0.0138465, 1.53014, 0.0173825, 'SS316L'
13, 5.55821, 9.59473e-05, 0.01400432, 0.00014792759478204193, 0.00772897, 0.000107577, 0.00627535, 0.000101537, 24.1319, 0.15332, 1.37689, 0.0280139, 1.65842, 0.0475638, 'SS316L'
13, 7.85689, 0.000171224, 0.01404426, 0.00027633137039793367, 0.0077602, 0.000201921, 0.00628406, 0.000188645, 8.20099, 0.0917198, 1.17843, 0.0448633, 1.30597, 0.0639615, 'SS316L'
13, 9.21387, 0.000120075, 0.018618620000000002, 0.0001871859828112137, 0.0105076, 0.00013674, 0.00811102, 0.000127831, 20.2084, 0.121022, 1.42807, 0.0291129, 1.48673, 0.0374784, 'SS316L'
13, 9.62249, 0.000158405, 0.01156169, 0.0002547813712852649, 0.00673583, 0.000188715, 0.00482586, 0.000171173, 8.09255, 0.0996282, 1.23279, 0.0532444, 1.2772, 0.070815, 'SS316L'
